HUNGRYBOX,USA,TL,LIQUID_HBOX
Wizzrobe,USA,FRYS,WIZZROBE
Nairo,USA,NRG,NAIRO
Scatt,USA,MVG,MVG_SCATT
Asdf,,,
DruggedFox,USA,BAL,Druggedfox
R2DLu,USA,,r2dLU
asdf,,,
DRUGGEDFOX,USA,BAL,druggedfox
Hungrybox,USA,TL,LIQUID_HBOX
Crunch,USA,TL,LIQUID_HBOX
Mang0,none,none,C9Mang0
Armada,USA,Alliance,ArmadaUGS
[A]rmada,USA,,ArmadaUGS
PPMD,none,none,ArmadaUGS
Nix,none,none,nixzura
RFang,none,none,RFang_SC
Keenan,none,none,Keenan_SSBM
Ryuta,none,none,ryutaMVC
Please,none,none,Please_Work
Please 2,none,none,This_one_too
devManWalking,none,none,This_one_too
FS | Smashbob Squarepants,none,none,Please_Work
FS | CreeperMcStalk,none,none,Please_Work
arf,DON'T USE,DON'T USE,This_one_too
CreeperMcStalk,DON'T USE,DON'T USE,Please_Work
<t>FS</t>CreeperMcStalk,DON'T USE,DON'T USE,Please_Work
<t>CCIT</t>arf,DON'T USE,DON'T USE,This_one_too
